iter	Passed	Remaining
0	14	7132
1	31	7759
2	45	7572
3	60	7541
4	80	7945
5	95	7846
6	150	10626
7	251	15494
8	296	16165
9	316	15498
10	363	16176
11	379	15429
12	395	14829
13	425	14761
14	440	14239
15	468	14174
16	482	13704
17	501	13419
18	522	13216
19	536	12871
20	549	12539
21	565	12278
22	578	11996
23	594	11795
24	614	11680
25	633	11550
26	650	11391
27	674	11363
28	699	11363
29	738	11574
30	767	11607
31	790	11558
32	813	11508
33	842	11544
34	870	11570
35	886	11427
36	903	11310
37	919	11180
38	936	11066
39	959	11028
40	974	10912
41	984	10740
42	994	10567
43	1005	10419
44	1013	10252
45	1024	10113
46	1035	9977
47	1043	9829
48	1055	9717
49	1068	9616
50	1077	9483
51	1088	9378
52	1100	9280
53	1108	9158
54	1120	9066
55	1131	8972
56	1141	8872
57	1152	8785
58	1163	8695
59	1173	8604
60	1186	8542
61	1199	8477
62	1212	8413
63	1225	8347
64	1240	8299
65	1253	8244
66	1267	8190
67	1283	8156
68	1300	8124
69	1317	8091
70	1335	8068
71	1350	8026
72	1365	7985
73	1385	7977
74	1401	7942
75	1421	7928
76	1437	7898
77	1454	7871
78	1471	7842
79	1488	7813
80	1500	7762
81	1516	7729
82	1527	7675
83	1540	7631
84	1554	7587
85	1567	7548
86	1581	7507
87	1592	7455
88	1601	7394
89	1613	7348
90	1623	7296
91	1631	7237
92	1643	7194
93	1661	7174
94	1669	7118
95	1678	7064
96	1689	7019
97	1697	6964
98	1709	6924
99	1718	6875
100	1727	6822
101	1738	6782
102	1749	6741
103	1758	6694
104	1770	6661
105	1782	6623
106	1792	6585
107	1806	6556
108	1816	6516
109	1825	6471
110	1838	6443
111	1848	6403
112	1858	6365
113	1870	6333
114	1879	6292
115	1888	6250
116	1898	6216
117	1907	6173
118	1917	6140
119	1927	6103
120	1940	6076
121	1951	6047
122	1967	6029
123	1982	6012
124	1996	5989
125	2011	5970
126	2025	5949
127	2038	5925
128	2048	5890
129	2059	5862
130	2069	5828
131	2078	5795
132	2090	5769
133	2101	5739
134	2112	5710
135	2130	5700
136	2146	5687
137	2161	5669
138	2177	5654
139	2194	5642
140	2212	5633
141	2230	5623
142	2248	5612
143	2260	5588
144	2272	5562
145	2285	5541
146	2298	5520
147	2314	5504
148	2324	5475
149	2336	5451
150	2351	5434
151	2365	5414
152	2376	5390
153	2386	5360
154	2400	5343
155	2414	5325
156	2427	5304
157	2439	5280
158	2448	5251
159	2461	5230
160	2472	5207
161	2485	5185
162	2494	5157
163	2506	5134
164	2515	5108
165	2526	5083
166	2541	5067
167	2554	5047
168	2566	5026
169	2576	5000
170	2588	4981
171	2599	4957
172	2608	4930
173	2619	4908
174	2630	4884
175	2640	4861
176	2653	4842
177	2667	4824
178	2680	4806
179	2688	4780
180	2700	4758
181	2711	4737
182	2720	4712
183	2731	4690
184	2741	4668
185	2750	4643
186	2763	4625
187	2775	4605
188	2784	4581
189	2795	4561
190	2806	4539
191	2815	4516
192	2825	4494
193	2834	4471
194	2844	4448
195	2853	4426
196	2863	4403
197	2874	4384
198	2885	4365
199	2894	4341
200	2905	4321
201	2914	4300
202	2923	4277
203	2934	4257
204	2944	4236
205	2956	4219
206	2969	4202
207	2982	4187
208	2994	4169
209	3005	4150
210	3018	4134
211	3030	4117
212	3043	4100
213	3056	4085
214	3070	4070
215	3085	4056
216	3096	4038
217	3109	4022
218	3118	4001
219	3132	3986
220	3147	3973
221	3160	3958
222	3172	3940
223	3183	3922
224	3194	3904
225	3205	3885
226	3214	3865
227	3225	3848
228	3235	3829
229	3244	3808
230	3255	3790
231	3266	3772
232	3275	3753
233	3287	3736
234	3298	3719
235	3307	3699
236	3317	3681
237	3326	3661
238	3338	3645
239	3348	3627
240	3357	3607
241	3368	3591
242	3378	3572
243	3389	3555
244	3405	3544
245	3417	3528
246	3428	3511
247	3437	3492
248	3448	3475
249	3457	3457
250	3466	3438
251	3478	3422
252	3491	3408
253	3504	3394
254	3517	3379
255	3530	3365
256	3542	3349
257	3551	3331
258	3561	3314
259	3572	3297
260	3580	3279
261	3593	3263
262	3603	3247
263	3613	3229
264	3625	3214
265	3638	3200
266	3648	3183
267	3661	3169
268	3678	3158
269	3696	3149
270	3716	3140
271	3731	3128
272	3742	3111
273	3758	3100
274	3773	3087
275	3785	3072
276	3797	3057
277	3811	3044
278	3824	3029
279	3835	3013
280	3847	2998
281	3857	2982
282	3867	2965
283	3878	2950
284	3888	2933
285	3897	2916
286	3912	2903
287	3929	2892
288	3945	2880
289	3958	2866
290	3968	2850
291	3977	2833
292	3989	2818
293	4000	2803
294	4009	2786
295	4022	2772
296	4034	2757
297	4042	2740
298	4054	2725
299	4064	2709
300	4072	2692
301	4086	2679
302	4098	2664
303	4111	2650
304	4122	2635
305	4135	2622
306	4149	2608
307	4161	2593
308	4171	2578
309	4184	2564
310	4198	2551
311	4209	2536
312	4220	2521
313	4231	2506
314	4243	2492
315	4251	2475
316	4263	2461
317	4273	2445
318	4285	2431
319	4296	2417
320	4310	2403
321	4326	2391
322	4339	2378
323	4348	2362
324	4361	2348
325	4372	2333
326	4380	2317
327	4391	2302
328	4401	2287
329	4410	2271
330	4421	2257
331	4434	2243
332	4443	2228
333	4454	2213
334	4463	2198
335	4472	2183
336	4484	2169
337	4494	2154
338	4504	2139
339	4514	2124
340	4524	2109
341	4536	2096
342	4547	2081
343	4556	2066
344	4575	2055
345	4586	2041
346	4600	2028
347	4612	2014
348	4622	1999
349	4632	1985
350	4643	1971
351	4652	1956
352	4662	1941
353	4672	1927
354	4681	1912
355	4693	1898
356	4704	1884
357	4713	1869
358	4724	1855
359	4733	1840
360	4743	1826
361	4754	1812
362	4763	1797
363	4774	1783
364	4784	1769
365	4793	1755
366	4805	1741
367	4816	1727
368	4825	1712
369	4836	1699
370	4847	1685
371	4856	1670
372	4867	1657
373	4876	1642
374	4887	1629
375	4897	1615
376	4906	1600
377	4917	1587
378	4925	1572
379	4935	1558
380	4947	1545
381	4955	1530
382	4965	1516
383	4975	1503
384	4984	1488
385	4997	1475
386	5010	1463
387	5023	1450
388	5035	1436
389	5046	1423
390	5056	1409
391	5064	1395
392	5076	1382
393	5086	1368
394	5095	1354
395	5106	1341
396	5115	1327
397	5125	1313
398	5135	1299
399	5144	1286
